('2017-04-27 01:38:15', 'Benzinga: Rich Ross Believes Netflix Is Going To $180 https://t.co/3MQSdXb65W $NFLX')
('2017-04-27 01:37:22'," ""RT @PragmaticProfit: Some more relevant P/E's now:\n\n$AMZN - 185\n$NFLX - 197\n$CRM - 325\n$TSLA - _Ÿ’© https://t.co/91k7R08gee"")"
('2017-04-27 01:36:24', 'RT @davidmoadel: $SPY 5 ways to pay less for #stocks than everybody else https://t.co/0NGKGYqn0x $QQQ #stockmarket #investing #options $AAPâ€_')
('2017-04-27 01:34:34', '$NFLX Chart points to another 19% rally for Netflix says top technician https://t.co/44Z8jZuPxZ https://t.co/44Z8jZuPxZ')
('2017-04-27 01:34:00', 'ROZAY!!!!....... wait....._Ÿ_” RT @Benzinga: Rich Ross Believes Netflix Is Going To $180 https://t.co/XRO2SXNBok $NFLX')
('2017-04-27 01:32:17', 'RT @davidmoadel: $XBI #Biotechs looking ready to break out on weekly chart $IBB #stockmarket #stocks #investing #finance #stocktrading $AMZâ€_')
('2017-04-27 01:30:01', 'Rich Ross Believes Netflix Is Going To $180 https://t.co/OFXQVq4NIP $NFLX')
('2017-04-27 01:29:30', 'Producer admits bilking investors with fake Broadway play $NFLX https://t.co/5La1Ez67qD')
('2017-04-27 01:25:16'," ""RT WSJmarkets: Netflix's China deal is only a Pyrrhic victory says jackycwong https://t.co/FCgt64HhVh $NFLX $BIDU https://t.co/juorwqetAO"")"
('2017-04-27 01:22:40', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$NFLX $TSLA $AAPL $CMG $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-27 01:22:40', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/4mJzTXVIW7\n\n$NFLX $TSLA $AAPL $CMG $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-27 01:22:40', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/JTDXZ3j6tY\n\n$NFLX $TSLA $AAPL $CMG $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-27 01:22:40', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/p4kvcRzFM1\n\n$NFLX $TSLA $AAPL $CMG $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-27 01:19:09'," ""RT @WSJmarkets: Netflix's China deal is only a Pyrrhic victory says @jackycwong https://t.co/rzWGee2ch8 $NFLX $BIDU https://t.co/FzwY06fmrP"")"
('2017-04-27 01:15:29', 'New report generated for $NFLX @ https://t.co/13sOwcNFyw #deepdata https://t.co/0nSVorzNT3')
('2017-04-27 00:55:42', 'Insider Selling: Netflix Inc. $NFLX Director Sells 1211 Shares of Stock https://t.co/jDyAp9kz3u')
('2017-04-27 00:51:43', 'RT @masamikan: .@NaviAvatar1 on #Periscope: Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/iQpQszlNWp')
('2017-04-27 00:48:14', '$NFLX:\n\nNetflix Is No Longer the Poster Child for Net Neutrality. Whoâ€™s Next?:\n\nhttps://t.co/V8osOFxsl8')
('2017-04-27 00:45:46', 'RT @davidmoadel: $XBI #Biotechs looking ready to break out on weekly chart $IBB #stockmarket #stocks #investing #finance #stocktrading $AMZâ€_')
('2017-04-27 00:45:18', '$SPY 5 ways to pay less for #stocks than everybody else https://t.co/0NGKGYqn0x $QQQ #stockmarket #investing #options $AAPL $AMZN $NFLX $FB')
('2017-04-27 00:44:32', '$XBI #Biotechs looking ready to break out on weekly chart $IBB #stockmarket #stocks #investing #financeâ€_ https://t.co/VDk3IS5r7R')
('2017-04-27 00:36:29', '$NFLX bearish Harami set up...stay long. More than half the time bullish activity continues')
('2017-04-27 00:30:51'," ""$NFLX about to hit Chinese consumers I wonder what that'll do to its ticker"")"
('2017-04-27 00:25:04', 'leahanne: 04/26/17 Volume Leader #87 - NFLX 9270600 Netflix Inc $NFLX 150.17 -1.99 -1.31% High today of 152. https://t.co/zNepKvU0rF')
('2017-04-27 00:16:11', 'Investors Buy Shares of Netflix Inc. $NFLX on Weakness on Insider Selling https://t.co/2qd5atdREq #stocks')
('2017-04-27 00:14:32', '04/26/17 Volume Leader #87 - NFLX 9270600 Netflix Inc $NFLX 150.17 -1.99 -1.31% High today of 152.15 day low https://t.co/SKQPPtnZbF')
('2017-04-27 00:09:54', 'Insider Selling: Netflix Inc. $NFLX Director Sells 1211 Shares of Stock https://t.co/CNJpxDDUyF')
('2017-04-27 00:09:35', 'Netflix $NFLX Given Coverage Optimism Score of 0.06 https://t.co/OfQLvF2jgY')
('2017-04-27 00:08:44', '$NFLX\nrev this inside daily major DT manana https://t.co/bCcKkNae2K')
('2017-04-27 00:07:27', 'Netflix $NFLX Given Coverage Optimism Score of 0.06 https://t.co/Q48ngqzi4N')
('2017-04-27 00:07:26', 'Netflix $NFLX Given Coverage Optimism Score of 0.06 https://t.co/g9lutaN6dU')
('2017-04-27 00:05:04', '$NFLX will this stock make you $ Great EPS Q/Q closed in above avg vol 1 min video #Investor #Money #WallStreet https://t.co/NfvuuxmfBu')
('2017-04-26 23:55:56', 'Market Commentary For Thursday Apr 27 $JPM $ORLY $BA $WTW $NFLX $IRBT $DECK
('2017-04-26 23:55:49', '$WDC $STX $IBM $NFLX $FFIV they all missed keep buyin into thu massive tech bubble market givez zero shyts bout earningz $MSFT $AMZN $GOOGL')
('2017-04-26 23:55:14', 'Investors Buy Shares of Netflix Inc. $NFLX on Weakness on Insider Selling https://t.co/l2fzRBHEWh')
('2017-04-26 23:53:52', '.@NaviAvatar1 on #Periscope: Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/iQpQszlNWp')
('2017-04-26 23:53:30', 'Investors Buy Shares of Netflix Inc. $NFLX on Weakness on Insider Selling https://t.co/asqqoS9ZUI')
('2017-04-26 23:53:30', 'Investors Buy Shares of Netflix Inc. $NFLX on Weakness on Insider Selling https://t.co/4kkUSatSgM')
('2017-04-26 23:42:03', '@nobullshytrader Your short $TSLA $NFLX $PCLN and $FB')
('2017-04-26 23:36:13', 'Dow Down 21 points $AAPL $AMZN $TWTR $TSLA $NFLX $FB $CMG https://t.co/3ZOeqqrf52')
('2017-04-26 23:21:09', 'AlphaNet generated a new report for $NFLX @http://aifinetwork.blogspot.com/2017/04/nflx.html #bigdata https://t.co/OHw6f865Z8')
('2017-04-26 23:04:19', '$NFLX Max Pain = 147.00. Maturity = 05/05/2017. Previous close = 152.16.  https://t.co/EwFIXPQqmk https://t.co/xMnyYHmHxT')
('2017-04-26 23:01:22', 'Netflix prices upsized bond offering $NFLX #netflix #bonds #Finance #streaming #entertainment #tech #stocks  https://t.co/XkyLghBbcA')
('2017-04-26 22:36:17', '$NFLX:US Netflix Aims for World Domination As Stock Hits Record High #NETFLIX INC  https://t.co/IroXdMLLq3 #NASDAQ')
('2017-04-26 22:34:53', 'Ready to TRADE FULL-TIME? Do it w/our money learn more here:\n\nhttps://t.co/hOAauZPfYB\n\n$LVS $TWTR $NFLX $NVDA $TSLA $AMZN $GOOGL $FB $AAPL')
('2017-04-26 22:34:53', 'Ready to TRADE FULL-TIME? Do it w/our money learn more here:\n\nhttps://t.co/sS85hYs06g\n\n$LVS $TWTR $NFLX $NVDA $TSLA $AMZN $GOOGL $FB $AAPL')
('2017-04-26 22:34:35', 'Ready to TRADE FULL-TIME? Do it w/our money learn more here:\n\nhttps://t.co/hOAauZPfYB\n\n$WYNN $TWTR $NFLX $NVDA $TSLA $AMZN $GOOGL $FB $AAPL')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/JTDXZ3j6tY\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/4mJzTXVIW7\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/p4kvcRzFM1\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:34:18', 'As our thanks please choose one of these free trading guides:\n\nhttps://t.co/M4atUQr2Zu\n\n$NFLX $TSLA $AAPL #MAGA $GS $FB $AMZN $GOOGL $NVDA')
('2017-04-26 22:33:56', '$XLK remind me again do we buy or sell tops? $NFLX $FB $TWTR $AAPL $TSLA $GOOG $AMZN $SNAP $FB $TWTR Todays Trades https://t.co/AAUxpn3lAG')
('2017-04-26 22:24:25', 'Bearish Harami Patterns to watch for shorts\n\nhttps://t.co/MD0u4yZS7D\n\n$NFLX $ATI $DOW $TSLA $SYT $DE $MBLY $CCCR https://t.co/bP2q4Mbnc9')
('2017-04-26 22:19:11', '$ Flows 4/26 ($/M) #FANG\n$FB-28\n$AMZN+79\n$NFLX+21\n$GOOGL-62\n$QQQ+75\n$XLK+4\n$ value of composite uptick trades - $ value of downtick trades')
('2017-04-26 22:15:48', 'Was driving rest of day. Like $nflx setup here. $nvda may back to daily mid BB 102. $cmg $tsla on radar. $amzn not strong into er but ok.')
('2017-04-26 22:11:09'," ""Some more relevant P/E's now:\n\n$AMZN - 185\n$NFLX - 197\n$CRM - 325\n$TSLA - _Ÿ’© https://t.co/91k7R08gee"")"
('2017-04-26 22:03:00', '50 most liquid high #RelativeStrength #stocks in the #market $NFLX $QRVO $ANTM $ASML $C $CC DE $MAR  https://t.co/6bljuo8c2u #MomentumStocks')
('2017-04-26 22:02:26'," '$NFLX Netflix Inks Licensing Deal with Baidu Breaks China ""Wall"" https://t.co/3VNRhM5iam')"
('2017-04-26 22:02:25', '$NFLX How Can a Company Be Cash-Flow-Negative but Still Profitable? https://t.co/dCBBpGBx8d')
('2017-04-26 22:02:25', '$NFLX Earnings-Palooza With Halliburton Hasbro and More https://t.co/pnnXvdkHfG')
('2017-04-26 22:02:25', '$NFLX What Netflix Shareholders Should Know About BAMTech https://t.co/rDNDtFneFm')
('2017-04-26 22:02:24', '$NFLX Goldman Sachs Group Inc (GS) Stock Can Help You Bank Profits https://t.co/fN08X41yIL')
('2017-04-26 22:02:24', '$NFLX Will https://t.co/2akYrjJoOk Inc. (AMZN) Stock Deliver Christmas in April? https://t.co/jIcffCfzIg')
('2017-04-26 22:02:24', '$NFLX Company News for April 26 2017 https://t.co/lYH1s8GGtd')
('2017-04-26 22:02:23', '$NFLX Baidu Stock Has a Lot to Prove on Thursday https://t.co/mqJSng0jK1')
('2017-04-26 22:02:23', '$NFLX The Fundamental Challenge for Netflix Inc. https://t.co/gHPy2Vdzp3')
('2017-04-26 21:57:42', 'All true but new high flyers... $AMZN $NFLX; $FB TSLA.... I can go on. What are those P/Es??? https://t.co/aShSphAx90')
('2017-04-26 21:54:32', 'Rich Ross Believes Netflix Is Going To $180 $NFLX https://t.co/H2T9aW2UVQ via @benzinga')
('2017-04-26 21:50:15', 'Netflix execs harvest big paydays amid stock surge @georgeavalos $NFLX https://t.co/A1tD4WJNg2 https://t.co/QatI9eB4lC')
('2017-04-26 21:35:27', '#StockNerds want a #stock idea?!  https://t.co/4Qo8omDy9f Enjoy $SPY $QQQ $AMZN $NFLX $TLT $GLD')
('2017-04-26 21:23:17', '$NFLX:\n\nRich Ross Believes Netflix Is Going To $180:\n\nhttps://t.co/2X37xGuNXK')
('2017-04-26 21:22:35'," 'Netflix Inks Licensing Deal with Baidu Breaks China ""Wall"" https://t.co/FRDtCH7OuX $NFLX $BIDU')"
('2017-04-26 21:18:28', 'RT @IBDinvestors: Big Week For Dow Stock Earnings; Netflix Too: Investing Action Plan https://t.co/DHYHljdhTK $NFLX $VZ $GS $GE $IBM $JNJ $â€_')
('2017-04-26 21:14:07'," ""RT @Path_Trading: All 'New Times' Highs #68 &gt; The Money Path Podcast \n\nLISTEN HERE -&gt; https://t.co/zeY5wCyBmJ\n\n$NFLX $BAC $GS $MS $IBM $QCOâ€_"")"
('2017-04-26 21:13:42', '$NFLX:\n\nNew Insider Filing on\n\nIntl. Development Officer\n\nGREGORY K PETERS:\n\nhttps://t.co/hLfx9Zs84F')
('2017-04-26 21:11:08', 'How Can a Company Be Cash-Flow-Negative but Still Profitable?\n https://t.co/c9VvICEYGm $NFLX')
('2017-04-26 21:05:55', '$NFLX: Netflix upsizes offering of â‚¬1.3 bln of 3.625% senior notes due 2027 https://t.co/mOj9m3bsGB')
('2017-04-26 21:00:43', '$NFLX New SEC Document(s) for Netflix Inc.\nFrom our Stock News Alerts App')
('2017-04-26 20:58:11', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/Wy6UN3k0OQ')
('2017-04-26 20:58:11', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/a0rBOLllpI')
('2017-04-26 20:58:10', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/4TONjkTNZN')
('2017-04-26 20:58:09', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/wsgFZOSi7J')
('2017-04-26 20:58:08', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/uSOhPcUT43')
('2017-04-26 20:58:07', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/dPdRjMLrxc')
('2017-04-26 20:58:06', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/HDlJE9DRbA')
('2017-04-26 20:58:06', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/fJ4xj2fd2p')
('2017-04-26 20:58:04', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/hv37Pxk9ZN')
('2017-04-26 20:58:04', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/b0pnpX1IUP')
('2017-04-26 20:55:14', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/RgfmSIZIn3')
('2017-04-26 20:55:14', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/0ChxLfJnOf')
('2017-04-26 20:55:13', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/63LeGvKFRS')
('2017-04-26 20:55:12', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/gybmturvBk')
('2017-04-26 20:55:11', '$NFLX - Statement of Changes in Beneficial Ownership (4) https://t.co/y6SEYLDEZ8')
('2017-04-26 20:41:26', 'When net neutrality is reversed  $NFLX is in all likelihood going to have to pay up for the est 35% of all bandwith it hogs up.')
('2017-04-26 20:39:05'," ""If Netflix's stock is poised to taper off why not try its bonds instead? https://t.co/ol66qJQlnf | $nflx"")"
('2017-04-26 20:38:32', '$NFLX Max Pain is 147.00 for maturity 05/05/2017. Prev Close = 152.16.  https://t.co/EwFIXPQqmk https://t.co/pzDDFICpef')
('2017-04-26 20:37:44', '$spx #spx $spy #spy $x #x $amzn #amzn #fb $fb #goog $goog $nflx #nflx $AA \nS&amp;P 500 | Historical Data For April 27thâ€_ https://t.co/9sKkAO9RtB')
('2017-04-26 20:35:03', '$NFLX:\n\nHow Can a Company Be Cash-Flow-Negative but Still Profitable?:\n\nhttps://t.co/cZkzmQC7dO')
('2017-04-26 20:30:03', 'FCC chairman lays out plan to reverse net(#Ouch!) neutra... $CMCSA $CTL $CHTR $FTR $T $VZ $NFLX $ELNK $DISH $CCOI $S https://t.co/U1ItTFRdpV')
('2017-04-26 20:25:02', 'RT @OptionsMike: $NFLX Inside day as long as we hold breakout I will be bullish on it. https://t.co/4GHfrbIOk3')
('2017-04-26 20:23:50', '$NFLX Inside day as long as we hold breakout I will be bullish on it. https://t.co/4GHfrbIOk3')
('2017-04-26 20:23:07', '$NFLX:\n\nNetflix stock is expected to taper off why not try its bonds instead?:\n\nhttps://t.co/YvGrOxV8d4')
('2017-04-26 20:16:23', 'Netflix prices upsized bond offering $NFLX @netflix #netflix https://t.co/IfPPurH8Ut https://t.co/TfFzpquk4q')
('2017-04-26 20:15:44'," ""Anticipated rotation into Q1 w/ 'Momentum' index $QNET ( $FB $AMZN $NFLX $GOOGL) Medtech $IHI (ANTI-Reflation tradeâ€_ https://t.co/v2VIaDC1in"")"
('2017-04-26 20:12:31', 'Netflix Inc. $NFLX Receives â€œHoldâ€ù Rating from FBR &amp; Co https://t.co/ccSzmHYIqT')
('2017-04-26 20:07:30', 'FCC chairman lays out plan to reverse net neutra... $CMCSA $CTL $CHTR $FTR $T $VZ $NFLX $ELNK $DISH $CCOI $S https://t.co/U4DPxeoSOn')
('2017-04-26 20:07:10', 'RT @ACInvestorBlog: $NFLX Ongoing Long-term Bullishness for Netflix https://t.co/c1AkzLpWWC')
('2017-04-26 20:07:05'," ""RT @askslim: #Netflix $NFLX is up 5% but what's next? WHAM!\nhttps://t.co/5Xu8VWPIEY\n#NASDAQ #CycleAnalysis #TechnicalAnalysis"")"
('2017-04-26 20:06:24', 'RT @dscigliuzzo: Investors stream to Netflix offering at 3.75% - its lowest coupon ever https://t.co/6krNmoCH7M $NFLX via @yorukbahceli _Ÿ”’')
('2017-04-26 20:06:14', '$NFLX Ongoing Long-term Bullishness for Netflix https://t.co/c1AkzLpWWC')
('2017-04-26 20:04:39', '$NFLX prices what is now a â‚¬1.3B offering of 3.625% senior notes due 2027. Originally set to be â‚¬1B. https://t.co/Au9gBSu7cN')
('2017-04-26 20:03:01', 'Coâ€™s that have issued #guidance in the last 30 days https://t.co/8amEwziYqm $APH $CAT $SOHU $SHOO $SHW $EBAY $UNH $NFLX $APOG $PIR $RPD $KNX')
('2017-04-26 20:02:35', 'Netflix execs harvest big paydays amid stock surge https://t.co/Bj6SO0vPLt @georgeavalos $NFLX')
('2017-04-26 20:01:52', '@HonestoHortalez @diggingplatinum Maybe $aapl buys $nflx to compete against $amzn makes more sense or not')
('2017-04-26 20:00:04'," ""RT @SharePlanner: Preparation is key! You'll want to read this: How to Develop a Powerful List of Stocks to Watch $GS $NFLX $FB $CAT https:â€_"")"
('2017-04-26 19:50:17', 'Earnings-Palooza With Halliburton Hasbro and More https://t.co/soZeOlypyM $HAS $FIT $HAL $NFLX')
('2017-04-26 19:50:02', 'RT @HonestoHortalez: $aapl buys $twtr + $DIS to compete with $nflx')
('2017-04-26 19:48:57', 'How to Win a Simulated Stock Trading Contest: https://t.co/cvMoTkLFU4 $TVIX $UVXY $FAS $FAZ $DWTI $UWTI $TSLA $NFLX $SPY $FB $AMD #stocks')
('2017-04-26 19:46:55', '$NFLX 149 puts that I got earlier making $ now. BUT #rules and #discipline win only 10% loss.')
('2017-04-26 19:41:14', '@PlanetPonzi $NFLX in Europe is the ultimate CAKE! Imaging the @ecb is going to gobble up that corp debt! Anything to distract the masses!')
('2017-04-26 19:40:43', 'Is it just me or is the real result in FCC dereg isnt $NFLX. its $T &amp; $VZ acquiring more &amp; more content compnaies? cc @LibertyRPF @SkeleCap')
('2017-04-26 19:40:13', 'Netflix Inc. $NFLX Given â€œBuyâ€ù Rating at MKM Partners https://t.co/kCCHp7LAAt')
('2017-04-26 19:36:43', 'Investors stream to Netflix offering at 3.75% - its lowest coupon ever https://t.co/6krNmoCH7M $NFLX via @yorukbahceli _Ÿ”’')
('2017-04-26 19:32:09', 'Netflix Inc. $NFLX Given â€œBuyâ€ù Rating at MKM Partners https://t.co/IMntG1Lxo1 #stocks')
('2017-04-26 19:31:10', 'Netflix prices upsized bond offering https://t.co/K2QwSQQMYA $NFLX')
('2017-04-26 19:29:28', 'Netflix Inc. $NFLX Given â€œBuyâ€ù Rating at MKM Partners https://t.co/cF9vA2XffP')
('2017-04-26 19:29:27', 'Netflix Inc. $NFLX Given â€œBuyâ€ù Rating at MKM Partners https://t.co/DIfsr4BCoV')
('2017-04-26 19:28:53', 'Netflix Inc. $NFLX Given â€œBuyâ€ù Rating at MKM Partners https://t.co/3gOKFMJC1B')
('2017-04-26 19:25:03', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:57', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:51', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:44', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:36', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:36', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:35', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:24', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:18', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:24:17', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:59', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:53', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:53', 'Netflix Inc. $NFLX Rating Reiterated by FBR &amp; Co https://t.co/um7llEDC7Y')
('2017-04-26 19:23:44', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:32', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:27', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:23', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:14', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:11', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:23:01', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:49', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:41', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:39', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:35', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:34', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:33', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:24', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:16', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:15', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:13', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:11', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:22:01', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:21:28', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:21:28', 'RT @androsForm: $NFLX Secondary offer')
('2017-04-26 19:19:35', 'RT @RagnarFo: The FANG 2017 https://t.co/W8aRF99bH5\n1. $FB           27.4%\n2. $NFLX      222%\n3. $AMZN     21.3%\n4. $GOOGL  12.0% https://â€_')
('2017-04-26 19:19:23', '#WiadomoÅ›ciEtf #Etf $NFLX $SPY $QQQ $GLD https://t.co/XXFhmfHkoa')
('2017-04-26 19:18:13', '#WiadomoÅ›ciEtf #Etf $NFLX $SPY $QQQ $GLD https://t.co/htTsBVYDtK')
('2017-04-26 19:18:13', 'Netflix prices upsized bond offering https://t.co/GP8Kp7xkVV $NFLX #sitifatimah #malaysia #financialplanning')
('2017-04-26 19:15:33', 'What Netflix Shareholders Should Know About BAMTech https://t.co/gSFLJ3lWUF $NFLX $DIS https://t.co/v1BKVE9quZ')
('2017-04-26 19:14:36', 'Netflix prices upsized bond offering https://t.co/nUDe8nRN3h $NFLX')
('2017-04-26 19:14:36', 'Netflix prices upsized bond offering https://t.co/5xSbA9L5Ei $NFLX')
('2017-04-26 19:13:13', '$NFLX:\n\nNetflix boosts size of euro bond offering by 30%:\n\nhttps://t.co/IkOmAkD4Wa')
('2017-04-26 19:10:28', 'ESPN - Please lay off Stephen A Smith - he makes me hate watching sports.  I just keep turning off the TV or watching Netflix $NFLX')
('2017-04-26 19:08:36', 'What Netflix Shareholders Should Know About BAMTech https://t.co/FiilDPeB6z $NFLX $DIS https://t.co/a5QDZ7QVjm')
('2017-04-26 19:08:05', '$TWTR #Twitter posts strong user growth shares soar https://t.co/vGMG8BFxs2 #stockmarket #stocks #investing #finance $QQQ $AAPL $SPY $NFLX')
('2017-04-26 19:06:41', '$NFLX Upsizes offering of â‚¬1.3 bln of 3.625% senior notes due 2027 https://t.co/QPgMvrmrXL')
('2017-04-26 19:02:03', '$HAL $HAS $NFLX:\n\nEarnings-Palooza With Halliburton Hasbro and More:\n\nhttps://t.co/IQXGHvcuaQ')
('2017-04-26 19:00:01', '$NFLX:\n\nNetflix (NFLX) Prices EUR1.3 Billion Offering of Senior Notes:\n\nhttps://t.co/58JKz85bKQ')
('2017-04-26 18:59:15', '$NFLX Netflix Prices EUR1.3 Billion Offering of Senior Notes \nFrom our Stock News Alerts App')
('2017-04-26 18:56:38', '$aapl buys $twtr + $DIS to compete with $nflx')
('2017-04-26 18:55:31', '$NFLX Secondary offer')
('2017-04-26 18:55:05', '$NFLX - Netflix Prices â‚¬1.3 Billion Offering of Senior Notes https://t.co/7uQaE3cedL')
('2017-04-26 18:55:05', '$NFLX - Netflix Prices â‚¬1.3 Billion Offering of Senior Notes https://t.co/gSnUlILhk0')
('2017-04-26 18:55:04', '$NFLX - Netflix Prices â‚¬1.3 Billion Offering of Senior Notes https://t.co/vdpI0kqRXa')
('2017-04-26 18:55:03', '$NFLX - Netflix Prices â‚¬1.3 Billion Offering of Senior Notes https://t.co/xJn9LbNMa0')
('2017-04-26 18:55:02', '$NFLX - Netflix Prices â‚¬1.3 Billion Offering of Senior Notes https://t.co/HDanh64z6C')
('2017-04-26 18:54:47', 'RT @TopstepTrader: $NFLX PRICES â‚¬1.3B OFFERING OF SR NOTES')
('2017-04-26 18:54:35', '$NFLX PRICES â‚¬1.3B OFFERING OF SR NOTES https://t.co/qIuzOXHsFG')
('2017-04-26 18:54:06', '$NFLX PRICES â‚¬1.3B OFFERING OF SR NOTES')
('2017-04-26 18:52:46', 'RT @option_snipper: Another GREAT day with HUGE profits thanks primarily to $TSLA $NVDA $NFLX. Very strong moves into close $TSLA. Check baâ€_')
('2017-04-26 18:49:47', 'Net neutrality at risk in coming months. $NFLX in trouble if there was ever a fee put on higher usage of data.')
('2017-04-26 18:44:35', '$CMCSA $NFLX $T $CHTR #netneutrality While everyone was focused on Cohn/Mnuchin... https://t.co/hxdtDK7kfk')
('2017-04-26 18:42:52', '$NFLX --FCC-commissioner coming on CNBC')
('2017-04-26 18:41:10', '$MSDI Monster Digital Reports Distribution Deal with Ingram Entertainment $BAC $C $MSFT $FB $AAPL $TWTR $GPRO $AMZN $NFLX $MTBC $SAJA $ENSV')
('2017-04-26 18:40:34', 'RT @vidit_chaudhary: $NFLX stock up 5% this morning because @thevirdas new special is live. Right? #AbroadUnderstanding https://t.co/VIQuPPâ€_')
('2017-04-26 18:36:50', 'Another social report generated for $NFLX at https://t.co/13sOwcNFyw #bigdata https://t.co/4Zr9Lcfej9')
('2017-04-26 18:32:59', 'Analystsâ€™ Recent Ratings Changes for Netflix $NFLX https://t.co/0HU0TlRDz4')
('2017-04-26 18:30:37'," ""If I'm $NFLX I hire every person that was laid off from ESPN and start world domination"")"
('2017-04-26 18:28:01', '$NFLX:\n\nChart points to another 19% rally for Netflix says top technician:\n\nhttps://t.co/KMC2nM64og')
('2017-04-26 18:25:45', 'Analystsâ€™ Recent Ratings Changes for Netflix $NFLX https://t.co/4OJdPtKdfK')
('2017-04-26 18:24:33'," ""RT @TradingNation: Evercore ISI's @RichartRoss sees a huge rally ahead for Netflix. He walks through the $NFLX charts. https://t.co/Dl7U4uHâ€_"")"
('2017-04-26 18:23:23', '$NFLX based on OI expiring on Friday this is pinned at 148-150 unless we break 138 140-145 is the next range')
('2017-04-26 18:22:47'," ""RT @TradingNation: Evercore ISI's @RichartRoss sees a huge rally ahead for Netflix. He walks through the $NFLX charts. https://t.co/Dl7U4uHâ€_"")"
